t [s] | x [m]],0,0.000875,0.00175,0.002625,0.0035,0.004375,0.00525,0.006125,0.007,0.007875,0.00875,0.009625,0.0105,0.011375,0.01225,0.013125,0.014,0.014875,0.01575,0.016625,0.0175,0.018375,0.01925,0.020125,0.021,0.021875,0.02275,0.023625,0.0245,0.025375,0.02625,0.027125,0.028,0.028875,0.02975,0.030625,0.0315,0.032375,0.03325,0.034125
20,0.488763,0.410599,0.403955,0.397432,0.391032,0.38476,0.378621,0.37262,0.366761,0.361048,0.355487,0.350083,0.34484,0.339764,0.33486,0.330134,0.32559,0.321234,0.317072,0.313109,0.309351,0.305803,0.302472,0.299364,0.296483,0.293836,0.291429,0.289267,0.287357,0.285703,0.284312,0.283189,0.28234,0.281768,0.28148,0.281479,0.28177,0.282357,0.283242,0.28443,0.286743
21,0.488756,0.413707,0.407339,0.401088,0.394958,0.388954,0.383079,0.377338,0.371737,0.366279,0.360969,0.355812,0.350812,0.345976,0.341306,0.33681,0.332491,0.328356,0.324408,0.320654,0.317099,0.313748,0.310606,0.30768,0.304973,0.302493,0.300243,0.29823,0.296458,0.294933,0.29366,0.292643,0.291887,0.291397,0.291177,0.29123,0.29156,0.292171,0.293065,0.294243,0.296513
22,0.488751,0.416695,0.410591,0.404602,0.39873,0.392982,0.38736,0.381869,0.376514,0.371299,0.366228,0.361307,0.356539,0.351929,0.347483,0.343205,0.3391,0.335172,0.331427,0.32787,0.324506,0.321339,0.318375,0.315619,0.313075,0.310749,0.308646,0.30677,0.305126,0.303718,0.302552,0.301631,0.30096,0.300542,0.300381,0.30048,0.300843,0.301471,0.302367,0.303533,0.305754
23,0.488745,0.419568,0.413717,0.407979,0.402356,0.396852,0.391472,0.38622,0.3811,0.376117,0.371274,0.366577,0.36203,0.357636,0.353402,0.349331,0.345428,0.341697,0.338144,0.334773,0.331588,0.328594,0.325797,0.3232,0.320808,0.318626,0.316658,0.314909,0.313382,0.312082,0.311014,0.31018,0.309584,0.30923,0.309121,0.30926,0.309648,0.310289,0.311183,0.312332,0.3145
24,0.48874,0.42233,0.416723,0.411225,0.405839,0.40057,0.395421,0.390398,0.385503,0.380741,0.376116,0.371632,0.367295,0.363107,0.359074,0.355199,0.351488,0.347943,0.344571,0.341375,0.338359,0.335528,0.332887,0.330439,0.328189,0.326141,0.324298,0.322666,0.321248,0.320047,0.319068,0.318312,0.317785,0.317488,0.317424,0.317595,0.318004,0.318652,0.31954,0.32067,0.322783
25,0.488734,0.424986,0.419612,0.414344,0.409186,0.404142,0.399215,0.394409,0.389729,0.385178,0.380761,0.376482,0.372344,0.368352,0.364509,0.360821,0.357291,0.353923,0.350721,0.34769,0.344834,0.342156,0.339661,0.337353,0.335235,0.333312,0.331586,0.330062,0.328744,0.327634,0.326735,0.326052,0.325585,0.325338,0.325314,0.325513,0.325937,0.326589,0.327468,0.328575,0.330632
26,0.48873,0.42754,0.422389,0.417343,0.412402,0.407573,0.402858,0.398261,0.393786,0.389437,0.385218,0.381133,0.377185,0.373379,0.369718,0.366207,0.362848,0.359647,0.356607,0.353732,0.351026,0.348492,0.346134,0.343957,0.341963,0.340155,0.338538,0.337115,0.335889,0.334862,0.334037,0.333418,0.333006,0.332804,0.332813,0.333036,0.333472,0.334124,0.334991,0.336074,0.338073
27,0.488725,0.429995,0.425059,0.420224,0.415493,0.410869,0.406357,0.401959,0.397681,0.393524,0.389494,0.385594,0.381827,0.378198,0.37471,0.371366,0.368171,0.365128,0.36224,0.359513,0.356948,0.354549,0.352321,0.350265,0.348387,0.346688,0.345172,0.343841,0.3427,0.341749,0.340993,0.340432,0.340069,0.339907,0.339945,0.340186,0.340631,0.34128,0.342133,0.343191,0.345131
28,0.48872,0.432355,0.427625,0.422993,0.418462,0.414035,0.409717,0.40551,0.401419,0.397447,0.393597,0.389873,0.386279,0.382818,0.379493,0.376309,0.373268,0.370375,0.367632,0.365043,0.362611,0.36034,0.358233,0.356292,0.354522,0.352924,0.351502,0.350258,0.349194,0.348314,0.347619,0.347112,0.346793,0.346665,0.346729,0.346985,0.347435,0.348079,0.348916,0.349947,0.351828
29,0.488716,0.434623,0.430091,0.425653,0.421314,0.417076,0.412943,0.408919,0.405007,0.401211,0.397533,0.393977,0.390547,0.387246,0.384077,0.381044,0.37815,0.375398,0.372792,0.370334,0.368028,0.365877,0.363884,0.362051,0.360381,0.358878,0.357543,0.356379,0.355388,0.354573,0.353934,0.353475,0.353196,0.353098,0.353184,0.353452,0.353905,0.354541,0.355361,0.356365,0.358186
30,0.488712,0.436804,0.432461,0.428209,0.424054,0.419997,0.416042,0.412192,0.408451,0.404822,0.401309,0.397913,0.39464,0.391491,0.38847,0.385581,0.382826,0.380208,0.377731,0.375398,0.37321,0.371172,0.369286,0.367554,0.365979,0.364563,0.36331,0.36222,0.361296,0.36054,0.359953,0.359538,0.359294,0.359223,0.359327,0.359605,0.360058,0.360685,0.361487,0.362463,0.364225
